Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-December-2017,203.55,206.50,201.00,201.85,202.760379596678529062,3372,68,683708.00,2202,65.30,5.50,-1.70
28-December-2017,202.00,207.60,199.55,202.80,203.118439386901997213,8612,196,1749256.00,5063,58.79,8.05,0.80
27-December-2017,209.10,213.60,195.20,197.80,202.801825241163991514,24983,426,5066598.00,14168,56.71,18.40,-11.30
26-December-2017,216.50,219.90,207.20,209.70,213.418006973343830840,17782,363,3794999.00,7540,42.40,12.70,-6.80
22-December-2017,218.95,233.60,212.40,218.15,223.089049019135296669,165976,2710,37027428.00,60121,36.22,21.20,-0.80
21-December-2017,188.30,217.00,186.00,211.60,203.494374383901560216,176514,2547,35919606.00,63475,35.96,31.00,23.30
20-December-2017,171.40,186.80,171.40,185.15,182.675916812871753177,46738,605,8537907.00,34520,73.86,15.40,13.75
19-December-2017,168.50,172.00,168.50,169.50,170.573665707893895813,3129,51,533725.00,1709,54.62,3.50,1.00
18-December-2017,173.90,173.90,161.35,168.30,169.585345192714951291,2361,66,400391.00,1570,66.50,12.55,-5.60
15-December-2017,172.20,172.70,169.00,170.00,171.117014547754585705,3162,47,541072.00,2785,88.08,3.70,-2.20
14-December-2017,174.00,175.75,165.80,169.20,168.115678524374176548,3795,76,637999.00,2576,67.88,9.95,-4.80
13-December-2017,165.65,176.00,163.00,171.30,170.388964423294810786,8826,184,1503853.00,4136,46.86,13.00,5.65
12-December-2017,164.00,167.50,164.00,165.80,165.960270498732037193,1183,20,196331.00,1055,89.18,3.50,1.80
11-December-2017,172.55,178.00,165.00,166.10,171.268446943078004216,9961,71,1706005.00,1336,13.41,13.00,-6.45
8-December-2017,165.80,175.30,164.50,172.10,170.203751617076326002,1546,47,263135.00,1022,66.11,10.80,6.30
7-December-2017,167.55,171.90,164.60,165.20,165.684385382059800664,1204,35,199484.00,946,78.57,7.30,-2.35
6-December-2017,163.00,167.00,160.00,165.20,163.678493987778434851,5073,92,830341.00,2859,56.36,7.00,2.20
5-December-2017,172.60,172.60,163.80,166.80,168.281938325991189427,4540,114,764000.00,2905,63.99,8.80,-5.80
4-December-2017,174.10,180.45,171.00,171.85,174.347981604496678589,1957,47,341199.00,1215,62.08,9.45,-2.25
1-December-2017,187.65,188.00,172.35,176.05,180.548678720445062586,14380,256,2596290.00,7551,52.51,15.65,-11.60
30-November-2017,178.70,188.00,177.50,185.75,184.676173101172430445,37273,514,6883435.00,13711,36.79,10.50,7.05
29-November-2017,170.65,187.25,170.65,178.15,183.879555134879318504,139458,772,25643475.00,107989,77.43,16.60,7.50
28-November-2017,182.00,182.00,168.10,169.80,171.855304101838755304,7070,164,1215017.00,5452,77.11,13.90,-12.20
27-November-2017,179.00,191.50,178.05,181.15,184.887595738308159685,23371,419,4321008.00,10938,46.80,13.45,2.15
24-November-2017,179.80,190.00,175.00,177.80,181.553782540329625531,51513,1369,9352380.00,21224,41.20,15.00,-2.00
23-November-2017,159.20,185.20,155.00,177.60,176.184400514557244493,76182,1255,13422080.00,27495,36.09,30.20,18.40
22-November-2017,148.00,159.80,148.00,155.45,154.412698412698412698,13482,235,2081792.00,7206,53.45,11.80,7.45
21-November-2017,142.75,149.80,141.30,146.45,144.732831836932783305,4121,97,596444.00,2156,52.32,8.50,3.70
20-November-2017,141.00,142.70,140.05,141.00,140.896676737160120845,1655,15,233184.00,1150,69.49,2.65,0.00
17-November-2017,143.00,144.60,141.50,142.50,142.980861244019138755,3762,75,537894.00,2100,55.82,3.10,-0.50
16-November-2017,142.25,142.25,140.70,140.70,140.846341463414634146,410,6,57747.00,410,100.00,1.55,-1.55
15-November-2017,138.50,145.00,138.05,141.55,141.375286041189931350,1748,39,247124.00,1241,71.00,6.95,3.05
14-November-2017,145.50,147.50,142.00,143.45,144.733729338842975206,3872,60,560409.00,2353,60.77,5.50,-2.05
13-November-2017,151.10,151.10,142.00,144.70,144.067484662576687116,652,14,93932.00,603,92.48,9.10,-6.40
10-November-2017,149.65,149.65,142.00,142.65,142.906448683015440508,2202,31,314680.00,1619,73.52,7.65,-7.00
9-November-2017,143.15,145.00,142.00,143.95,143.302968960863697705,1482,34,212375.00,772,52.09,3.00,0.80
8-November-2017,145.70,145.70,141.95,142.10,142.702487562189054726,1005,24,143416.00,748,74.43,3.75,-3.60
7-November-2017,148.55,148.55,144.30,144.80,146.919287211740041928,2862,41,420483.00,1817,63.49,4.25,-3.75
6-November-2017,150.35,151.85,147.15,149.35,149.977815699658703071,1172,26,175774.00,784,66.89,4.70,-1.00
3-November-2017,144.35,154.85,141.90,147.55,148.230575599932874643,11918,255,1766612.00,5452,45.75,12.95,3.20
2-November-2017,144.65,146.00,141.70,143.70,143.110773323199695990,5263,92,753192.00,3278,62.28,4.30,-0.95
1-November-2017,147.10,150.30,146.15,146.20,147.366917293233082706,1330,41,195998.00,887,66.69,4.15,-0.90
31-October-2017,146.15,148.90,146.00,146.10,146.829821717990275526,617,18,90594.00,300,48.62,2.90,-0.05
30-October-2017,148.40,149.00,145.10,146.40,147.171722643553629469,1846,42,271679.00,1329,71.99,3.90,-2.00
27-October-2017,147.90,151.95,147.90,150.20,150.094786729857819905,211,10,31670.00,162,76.78,4.05,2.30
26-October-2017,152.35,153.00,150.00,150.05,150.817925856405443453,2131,37,321393.00,1655,77.66,3.00,-2.30
25-October-2017,150.90,155.30,150.50,152.10,152.289855072463768115,2070,48,315240.00,1333,64.40,4.80,1.20
24-October-2017,157.60,157.60,153.10,154.00,154.569459172852598091,943,38,145759.00,501,53.13,4.50,-3.60
23-October-2017,159.80,164.00,157.15,158.70,160.451650713029888650,10238,220,1642704.00,5320,51.96,6.85,-1.10
19-October-2017,148.70,158.00,143.00,154.75,151.910332672394800616,13617,206,2068563.00,7717,56.67,15.00,6.05
18-October-2017,154.00,154.00,146.00,148.00,150.241046482092964185,3937,64,591499.00,2671,67.84,8.00,-6.00
17-October-2017,153.75,158.45,148.35,152.00,154.841350301984469370,9272,247,1435689.00,2265,24.43,10.10,-1.75
16-October-2017,158.00,161.00,153.85,155.90,156.533672670321064996,5108,123,799574.00,2714,53.13,7.15,-2.10
13-October-2017,163.00,163.00,155.55,156.30,158.481197116891256659,6382,126,1011427.00,3700,57.98,7.45,-6.70
12-October-2017,169.35,169.50,157.90,161.00,163.682853315472203616,2986,74,488757.00,2079,69.62,11.60,-8.35
11-October-2017,173.85,180.00,162.20,165.70,174.719432794088276413,25035,415,4374101.00,10839,43.30,17.80,-8.15
10-October-2017,170.90,180.00,170.90,173.80,174.553442028985507246,28704,409,5010382.00,19388,67.54,9.10,2.90
9-October-2017,169.00,174.10,165.50,170.05,169.551531279599476794,22171,337,3759127.00,12155,54.82,8.60,1.05
6-October-2017,169.00,176.15,163.00,166.90,170.857512953367875647,44776,851,7650316.00,19618,43.81,13.15,-2.10
5-October-2017,159.75,174.00,156.00,170.10,166.293355549510337323,29408,657,4890355.00,13704,46.60,18.00,10.35
4-October-2017,151.05,164.70,151.05,157.65,158.889918044711701663,20621,398,3276469.00,8172,39.63,13.65,6.60
3-October-2017,153.00,157.05,147.00,154.45,153.876188896261888962,18084,295,2782697.00,8933,49.40,10.05,1.45
29-September-2017,136.65,163.85,136.65,152.10,157.298705120659211300,54368,576,8552016.00,18139,33.36,27.20,15.45
28-September-2017,130.00,140.00,130.00,136.55,133.781146179401993355,4816,90,644290.00,3135,65.10,10.00,6.55
27-September-2017,132.45,132.45,129.00,130.10,130.537421100090171325,3327,35,434298.00,2506,75.32,3.45,-2.35
26-September-2017,131.75,133.80,130.20,131.25,131.352229780801209372,1323,23,173779.00,634,47.92,3.60,-0.50
25-September-2017,135.50,135.50,130.05,132.00,131.721721027064538514,1441,31,189811.00,762,52.88,5.45,-3.50
22-September-2017,138.95,140.35,135.00,135.70,136.258259325044404973,2815,45,383567.00,2194,77.94,5.35,-3.25
21-September-2017,140.10,141.50,137.70,139.80,140.134615384615384615,2652,63,371637.00,2074,78.21,3.80,-0.30
20-September-2017,139.70,142.05,139.65,139.85,140.360000000000000000,575,14,80707.00,300,52.17,2.40,0.15
19-September-2017,140.20,140.60,138.10,139.25,139.707598371777476255,1474,36,205929.00,1022,69.34,2.50,-0.95
18-September-2017,140.00,142.00,138.00,140.00,139.887456774599182646,3181,47,444982.00,2528,79.47,4.00,0.00
15-September-2017,138.00,140.00,136.90,139.35,139.123703319502074688,3856,51,536461.00,2701,70.05,3.10,1.35
14-September-2017,140.55,140.60,135.45,136.90,138.320811744386873920,2316,51,320351.00,900,38.86,5.15,-3.65
13-September-2017,143.50,143.50,136.70,138.65,140.246011131725417439,2695,47,377963.00,1769,65.64,6.80,-4.85
12-September-2017,139.00,144.60,139.00,142.15,141.797250109122653862,4582,63,649715.00,3309,72.22,5.60,3.15
11-September-2017,147.45,147.45,141.05,142.05,144.332423208191126279,1465,37,211447.00,752,51.33,6.40,-5.40
8-September-2017,147.95,148.50,143.95,145.40,145.849695121951219512,3280,78,478387.00,1940,59.15,4.55,-2.55
7-September-2017,151.50,151.60,147.10,148.60,149.456828885400313971,3822,63,571224.00,2616,68.45,4.50,-2.90
6-September-2017,150.40,152.15,148.10,148.50,150.202453987730061349,2119,48,318279.00,1417,66.87,4.05,-1.90
5-September-2017,152.50,152.50,148.10,149.20,150.694502074688796680,1928,48,290539.00,1035,53.68,4.40,-3.30
4-September-2017,153.90,155.20,148.10,153.15,151.939593689215474389,9254,228,1406049.00,3483,37.64,7.10,-0.75
1-September-2017,147.75,151.00,147.75,150.50,150.003119151590767311,3206,47,480910.00,1938,60.45,3.25,2.75
31-August-2017,149.00,150.20,147.05,147.55,148.548045305078553160,2737,47,406576.00,1229,44.90,3.15,-1.45
30-August-2017,146.50,149.85,146.50,148.05,147.862641008626410086,1507,34,222829.00,1114,73.92,3.35,1.55
29-August-2017,147.65,150.40,144.15,145.55,147.343869274809160305,8384,146,1235331.00,4346,51.84,6.25,-2.10
28-August-2017,144.60,149.75,143.10,147.05,145.763842281879194630,2384,59,347501.00,1161,48.70,6.65,2.45
24-August-2017,140.45,146.90,140.00,143.55,143.765653460837887067,35136,425,5051350.00,23203,66.04,6.90,3.10
23-August-2017,141.50,144.00,138.30,142.90,141.334685598377281947,4930,114,696780.00,3069,62.25,5.70,1.40
22-August-2017,145.05,150.10,139.35,140.30,144.552314814814814814,28080,580,4059029.00,10294,36.66,10.75,-4.75
21-August-2017,140.20,142.05,137.00,137.50,139.970060117070083847,25284,247,3539003.00,18509,73.20,5.05,-2.70
18-August-2017,136.00,140.30,134.00,138.20,137.280167659386719611,13599,112,1866873.00,8713,64.07,6.30,2.20
17-August-2017,140.30,140.30,135.00,136.10,137.025305895439377085,3596,67,492743.00,2378,66.13,5.30,-4.20
16-August-2017,139.95,142.20,135.10,137.50,138.960192175703500343,1457,54,202465.00,588,40.36,7.10,-2.45
14-August-2017,128.05,141.00,128.05,137.70,138.420464700625558534,2238,63,309785.00,835,37.31,12.95,9.65
11-August-2017,137.35,141.00,132.00,134.20,135.677031228876571583,29588,679,4014412.00,14541,49.14,9.00,-3.15
10-August-2017,146.10,146.90,131.15,134.95,139.548833660344451711,9174,148,1280221.00,3798,41.40,15.75,-11.15
9-August-2017,141.00,151.90,135.65,144.60,143.805346930338317370,14513,280,2087047.00,7167,49.38,16.25,3.60
8-August-2017,146.00,146.00,133.00,141.95,139.090432623787412073,21751,258,3025356.00,9732,44.74,13.00,-4.05
7-August-2017,150.50,150.50,145.00,145.55,146.862556390977443609,3325,73,488318.00,1824,54.86,5.50,-4.95
4-August-2017,152.85,152.90,146.55,149.15,149.988613760481314618,142277,50,21339930.00,140633,98.84,6.35,-3.70
3-August-2017,153.65,154.60,149.85,150.70,153.076923076923076923,2899,67,443770.00,1958,67.54,4.75,-2.95
2-August-2017,155.50,159.15,153.00,154.65,156.484222604704532415,3486,77,545504.00,1302,37.35,6.15,-0.85
1-August-2017,159.40,160.00,153.65,155.95,157.177335819349492438,4827,102,758695.00,2365,49.00,6.35,-3.45
31-July-2017,159.75,162.15,158.15,159.50,160.054900444616276821,5173,114,827964.00,3565,68.92,4.00,-0.25
28-July-2017,162.70,167.30,158.50,160.35,162.941548183254344391,10128,233,1650272.00,3640,35.94,8.80,-2.35
27-July-2017,170.95,170.95,159.60,161.40,164.222372952102681832,19166,262,3147486.00,3727,19.45,11.35,-9.55
26-July-2017,169.00,174.00,168.00,170.20,171.399939251930920767,23046,772,3950083.00,12461,54.07,6.00,1.20
25-July-2017,170.40,173.00,166.35,170.55,169.705477908025247971,8872,244,1505627.00,4050,45.65,6.65,0.15
24-July-2017,171.00,175.00,168.50,169.70,171.538355026308501800,14444,277,2477700.00,8504,58.88,6.50,-1.30
21-July-2017,175.00,175.40,167.40,170.75,170.418659850283001643,10954,249,1866766.00,4910,44.82,8.00,-4.25
20-July-2017,172.70,180.80,165.00,173.35,174.726071453541215129,14303,473,2499107.00,5676,39.68,15.80,0.65
19-July-2017,163.00,174.90,163.00,172.15,170.959150378062937282,31873,821,5448981.00,14034,44.03,11.90,9.15
18-July-2017,157.00,164.00,157.00,161.55,160.040966137816717973,8446,140,1351706.00,5097,60.35,7.00,4.55
17-July-2017,153.00,162.00,143.50,159.60,154.908573380393942844,17566,420,2721124.00,5136,29.24,18.50,6.60
14-July-2017,153.00,154.30,147.70,152.25,151.724928909952606635,5275,92,800349.00,3105,58.86,6.60,-0.75
13-July-2017,152.00,155.00,150.65,153.20,153.439544392523364485,3424,92,525377.00,2119,61.89,4.35,1.20
12-July-2017,150.85,154.55,147.95,153.75,151.988545246277205040,6111,115,928802.00,4106,67.19,6.60,2.90
11-July-2017,148.60,153.50,145.95,149.25,149.125083724045545880,5972,161,890575.00,2748,46.01,7.55,0.65
10-July-2017,142.25,155.80,142.25,148.80,150.637118754055807916,7705,134,1160659.00,4555,59.12,13.55,6.55
7-July-2017,150.25,152.00,146.20,149.90,148.846071159840911533,9303,296,1384715.00,4081,43.87,5.80,-0.35
6-July-2017,151.95,154.30,145.35,149.95,149.503524321306441482,14329,353,2142236.00,5725,39.95,8.95,-2.00
5-July-2017,158.00,158.50,146.20,149.95,151.411887040280210157,27408,672,4149897.00,12141,44.30,12.30,-8.05
4-July-2017,137.00,162.00,137.00,156.80,156.062580794481419386,177147,1687,27646018.00,118344,66.81,25.00,19.80
